species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriality,foraging_environment,daily_activity
Budorcas_taxicolor,Mammalia,Artiodactyla,21.9,180000,nonvolant,nonfossorial,terrestrial,crepuscular
Burramys_parvus,Mammalia,Diprotodontia,12,45,nonvolant,semifossorial,semiarboreal,nocturnal
Callicebus_cupreus,Mammalia,Primates,26.4,1120,nonvolant,nonfossorial,arboreal,diurnal
Callicebus_donacophilus,Mammalia,Primates,25,795,nonvolant,nonfossorial,arboreal,diurnal
Callimico_goeldii,Mammalia,Primates,22.2,555,nonvolant,nonfossorial,semiarboreal,diurnal
Callithrix_argentata,Mammalia,Primates,16.5,343.2,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_geoffroyi,Mammalia,Primates,17.6,342,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_jacchus,Mammalia,Primates,22.8,255.2,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_kuhlii,Mammalia,Primates,20,342,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_penicillata,Mammalia,Primates,15.4,307,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_pygmaea,Mammalia,Primates,18.6,124,nonvolant,nonfossorial,arboreal,diurnal
Callosciurus_prevostii,Mammalia,Rodentia,21.1,400,nonvolant,nonfossorial,arboreal,diurnal
Camelus_bactrianus,Mammalia,Artiodactyla,35.4,475000,nonvolant,nonfossorial,terrestrial,diurnal
Camelus_dromedarius,Mammalia,Artiodactyla,28.4,434000,nonvolant,nonfossorial,terrestrial,diurnal
Canis_aureus,Mammalia,Carnivora,18.8,11000,nonvolant,nonfossorial,terrestrial,nocturnal
Canis_latrans,Mammalia,Carnivora,21.8,13250,nonvolant,semifossorial,terrestrial,nocturnal
Canis_lupus,Mammalia,Carnivora,20.6,26625,nonvolant,semifossorial,terrestrial,nocturnal
Canis_mesomelas,Mammalia,Carnivora,16.7,10250,nonvolant,nonfossorial,terrestrial,cathemeral
Capra_caucasica,Mammalia,Artiodactyla,19.3,70000,nonvolant,nonfossorial,terrestrial,cathemeral
Capra_falconeri,Mammalia,Artiodactyla,19.1,41000,nonvolant,nonfossorial,terrestrial,diurnal
Capra_hircus,Mammalia,Artiodactyla,20.8,61000,nonvolant,nonfossorial,terrestrial,cathemeral
Capra_ibex,Mammalia,Artiodactyla,20.9,82500,nonvolant,nonfossorial,terrestrial,diurnal
Capra_nubiana,Mammalia,Artiodactyla,22.4,46250,nonvolant,nonfossorial,terrestrial,diurnal
Capra_sibirica,Mammalia,Artiodactyla,22.3,130000,nonvolant,nonfossorial,terrestrial,diurnal
Capreolus_capreolus,Mammalia,Artiodactyla,17.5,21666.7,nonvolant,nonfossorial,terrestrial,crepuscular
Caracal_caracal,Mammalia,Carnivora,20.3,16000,nonvolant,nonfossorial,terrestrial,nocturnal
Carollia_perspicillata,Mammalia,Chiroptera,17,15,volant,nonfossorial,in_air,nocturnal
Cavia_aperea,Mammalia,Rodentia,6,341,nonvolant,nonfossorial,terrestrial,crepuscular
Cavia_porcellus,Mammalia,Rodentia,12,728,nonvolant,semifossorial,terrestrial,crepuscular
Cebus_albifrons,Mammalia,Primates,40.4,2467.5,nonvolant,nonfossorial,arboreal,diurnal
Cebus_apella,Mammalia,Primates,46,2642.5,nonvolant,nonfossorial,arboreal,diurnal
Cebus_capucinus,Mammalia,Primates,54,2655,nonvolant,nonfossorial,arboreal,diurnal
Cebus_olivaceus,Mammalia,Primates,47,2552.5,nonvolant,nonfossorial,arboreal,diurnal
Cephalophus_natalensis,Mammalia,Artiodactyla,15.2,10000,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_rufilatus,Mammalia,Artiodactyla,15.2,13000,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_silvicultor,Mammalia,Artiodactyla,22.5,62000,nonvolant,nonfossorial,terrestrial,nocturnal
Ceratotherium_simum,Mammalia,Perissodactyla,45,2180000,nonvolant,nonfossorial,terrestrial,crepuscular
Cervus_elaphus,Mammalia,Artiodactyla,31.5,2.00E+05,nonvolant,nonfossorial,terrestrial,diurnal
Cervus_nippon,Mammalia,Artiodactyla,26.3,42000,nonvolant,nonfossorial,terrestrial,cathemeral
Chaetophractus_villosus,Mammalia,Cingulata,25.2,3000,nonvolant,semifossorial,terrestrial,cathemeral
Cheirogaleus_medius,Mammalia,Primates,23.2,380,nonvolant,nonfossorial,arboreal,nocturnal
Chinchilla_lanigera,Mammalia,Rodentia,17.2,642.5,nonvolant,semifossorial,terrestrial,nocturnal
